Country,Area
Sao Tome and Principe,960
Suriname,156000
Slovak Republic,48080
Slovenia,20136.4
Sweden,407283.532
Eswatini,17200
Sint Maarten (Dutch part),34
Seychelles,460
Syrian Arab Republic,183630
Turks and Caicos Islands,950
Chad,1259200
East Asia & Pacific (IDA & IBRD countries),15902637.7
Europe & Central Asia (IDA & IBRD countries),22988700.6
Togo,54390
Thailand,510890
Tajikistan,138790
Turkmenistan,469930
Latin America & the Caribbean (IDA & IBRD countries),19913472
Timor-Leste,14870
Middle East & North Africa (IDA & IBRD countries),8628823
Tonga,720
South Asia (IDA & IBRD),4770120
Sub-Saharan Africa (IDA & IBRD countries),23890896.09
Trinidad and Tobago,5130
Tunisia,155360
Turkiye,769630
Tuvalu,30
Tanzania,885800
Uganda,200520
Ukraine,579400
Upper middle income,53276365.5
Uruguay,175020
United States,9147420
Uzbekistan,440650
St. Vincent and the Grenadines,390
"Venezuela, RB",882050
British Virgin Islands,150
Virgin Islands (U.S.),350
Vietnam,313429
Vanuatu,12190
World,129979826.5
Samoa,2780
Kosovo,
"Yemen, Rep.",527970
South Africa,1213090
Zambia,743390
Zimbabwe,386850
